Latitude,Longitude,BusSpeed
40.70884,-74.01456,22
40.73243,-74.00473667,20
40.77961,-73.98509,10
40.779236,-73.985382,14
40.778862,-73.985674,25
40.778488,-73.985966,21
40.77774,-73.98655,10
40.77755167,-73.98673333,19
40.77736333,-73.98691667,20
40.777175,-73.9871,1
40.77698667,-73.98728333,23
40.77661,-73.98765,22
40.77580667,-73.98788,17
40.7742,-73.98834,9
40.77405333,-73.988605,28.5
40.77390667,-73.98887,21
40.77376,-73.989135,6
40.77361333,-73.9894,6
40.77332,-73.98993,14
40.77297333,-73.99010167,13
40.77262667,-73.99027333,20
40.77228,-73.990445,10
40.77193333,-73.99061667,6
40.77124,-73.99096,17
40.77090167,-73.99074,30.5
40.77056333,-73.99052,8
40.770225,-73.9903,19
40.76988667,-73.99008,25
40.76921,-73.98964,29
40.772404,-73.986254,20
40.775598,-73.982868,12
40.778792,-73.979482,20
40.78518,-73.97271,4
40.76681,-73.98523333,15
40.73007,-74.01028,34
40.73736,-74.004778,21
40.74465,-73.999276,13
40.75194,-73.993774,22
40.76652,-73.98277,22
40.76619667,-73.982,24
40.76555,-73.98046,13
40.765251,-73.9798142,21
40.764952,-73.9791684,13
40.764653,-73.9785226,15
40.764055,-73.977231,13
40.763846,-73.9766808,14
40.763637,-73.9761306,0
40.763428,-73.9755804,13
40.76301,-73.97448,28
40.7550425,-73.9792225,12
40.747075,-73.983965,22
40.73114,-73.99345,24
40.73703,-73.988508,21
40.74292,-73.983566,12
40.74881,-73.978624,19
40.76059,-73.96874,13
40.76038333,-73.96825,6
40.75997,-73.96727,17
40.755165,-73.97163333,15
40.75036,-73.97599667,0
40.745555,-73.98036,15
40.74075,-73.98472333,7
40.73114,-73.99345,7
40.74034,-73.98309667,5
40.75874,-73.96239,10
40.763544,-73.961262,3
40.768348,-73.960134,16
40.773152,-73.959006,13
40.78276,-73.95675,25
40.7683325,-73.9648625,9
40.753905,-73.972975,13
40.70884,-74.01456,11
40.73243,-74.00473667,11
40.77961,-73.98509,13
40.77898667,-73.98557667,23
40.77774,-73.98655,4
40.7774575,-73.986825,4
40.777175,-73.9871,13
40.77661,-73.98765,21
40.77620833,-73.987765,4
40.77580667,-73.98788,10
40.775405,-73.987995,25
40.77500333,-73.98811,1
40.7742,-73.98834,15
40.77398,-73.9887375,18
40.77376,-73.989135,23
40.77332,-73.98993,7
40.7728,-73.9901875,20
40.77228,-73.990445,5
40.77124,-73.99096,12
40.77056333,-73.99052,23
40.76921,-73.98964,1
40.772404,-73.986254,2
40.775598,-73.982868,12
40.778792,-73.979482,11
40.78518,-73.97271,29.5
40.7714025,-73.9821025,25
40.757625,-73.991495,0
40.73007,-74.01028,24
40.736145,-74.005695,22
40.74222,-74.00111,27
40.748295,-73.996525,25
40.75437,-73.99194,19
40.76652,-73.98277,4
40.76635833,-73.982385,15
40.76619667,-73.982,16
40.766035,-73.981615,4
40.76587333,-73.98123,4
40.76555,-73.98046,22
40.76505167,-73.97938367,12
40.764055,-73.977231,13
40.76388083,-73.9767725,15
40.76370667,-73.976314,13
40.7635325,-73.9758555,10
40.76335833,-73.975397,2
40.76301,-73.97448,16
40.756636,-73.978274,15
40.750262,-73.982068,10
40.743888,-73.985862,19
40.73114,-73.99345,14
40.7385025,-73.9872725,19
40.745865,-73.981095,18
40.76059,-73.96874,24
40.760466,-73.968446,19
40.760342,-73.968152,5
40.760218,-73.967858,6
40.75997,-73.96727,1
40.75036,-73.97599667,25
40.73114,-73.99345,20
40.73574,-73.98827333,10
40.74034,-73.98309667,9
40.74494,-73.97792,0
40.74954,-73.97274333,11
40.75874,-73.96239,8
40.76674667,-73.96051,28
40.78276,-73.95675,12
40.76352333,-73.96756667,14
40.70884,-74.01456,28
40.7265325,-74.0071925,17
40.744225,-73.999825,14
40.77961,-73.98509,18
40.779236,-73.985382,0
40.778862,-73.985674,11
40.778488,-73.985966,14
40.77774,-73.98655,0
40.77755167,-73.98673333,18
40.77736333,-73.98691667,1
40.777175,-73.9871,1
40.77698667,-73.98728333,2
40.77661,-73.98765,24
40.77620833,-73.987765,1
40.77580667,-73.98788,16
40.775405,-73.987995,30.75
40.77500333,-73.98811,14
40.7742,-73.98834,16
40.77390667,-73.98887,20
40.77332,-73.98993,16
40.77262667,-73.99027333,7
40.77124,-73.99096,7
40.77056333,-73.99052,24
40.76921,-73.98964,10
40.7732025,-73.9854075,3
40.777195,-73.981175,22
40.78518,-73.97271,13
40.7714025,-73.9821025,21
40.757625,-73.991495,17
40.73007,-74.01028,20
40.736145,-74.005695,12
40.74222,-74.00111,8
40.748295,-73.996525,31
40.75437,-73.99194,23
40.76652,-73.98277,9
40.76635833,-73.982385,11
40.76619667,-73.982,26
40.766035,-73.981615,15
40.76587333,-73.98123,17
40.76555,-73.98046,0
40.76517625,-73.97965275,3
40.7648025,-73.9788455,3
40.764055,-73.977231,15
40.76370667,-73.976314,19
40.76301,-73.97448,5
40.75769833,-73.97764167,9
40.75238667,-73.98080333,17
40.747075,-73.983965,21
40.74176333,-73.98712667,25
40.73114,-73.99345,13
40.7385025,-73.9872725,15
40.745865,-73.981095,17
40.76059,-73.96874,11
40.76048667,-73.968495,3
40.76038333,-73.96825,9
40.76028,-73.968005,23
40.76017667,-73.96776,10
40.75997,-73.96727,29
40.75036,-73.97599667,15
40.73114,-73.99345,23
40.74034,-73.98309667,3
40.75874,-73.96239,9
40.763544,-73.961262,19
40.768348,-73.960134,17
40.773152,-73.959006,9
40.78276,-73.95675,8
40.7683325,-73.9648625,19
40.753905,-73.972975,23
40.70884,-74.01456,19
40.720635,-74.00964833,14
40.73243,-74.00473667,9
40.744225,-73.999825,2
40.75602,-73.99491333,0
40.77961,-73.98509,21
40.77898667,-73.98557667,6
40.77774,-73.98655,27.75
40.7774575,-73.986825,22
40.777175,-73.9871,26
40.77661,-73.98765,16
40.77580667,-73.98788,26
40.7742,-73.98834,13
40.77405333,-73.988605,6
40.77390667,-73.98887,5
40.77376,-73.989135,17
40.77361333,-73.9894,14
40.77332,-73.98993,13
40.77262667,-73.99027333,21
40.77124,-73.99096,14
40.77090167,-73.99074,1
40.77056333,-73.99052,29.75
40.770225,-73.9903,19
40.76988667,-73.99008,4
40.76921,-73.98964,15
40.77187167,-73.98681833,29.25
40.77453333,-73.98399667,12
40.777195,-73.981175,4
40.77985667,-73.97835333,23
40.78518,-73.97271,11
40.76681,-73.98523333,7
40.73007,-74.01028,8
40.74222,-74.00111,26
40.76652,-73.98277,19
40.76635833,-73.982385,11
40.76619667,-73.982,18
40.766035,-73.981615,11
40.76587333,-73.98123,2
40.76555,-73.98046,1
40.76505167,-73.97938367,17
40.764055,-73.977231,23
40.76388083,-73.9767725,6
40.76370667,-73.976314,28.25
40.7635325,-73.9758555,21
40.76335833,-73.975397,0
40.76301,-73.97448,20
40.756636,-73.978274,6
40.750262,-73.982068,7
40.743888,-73.985862,11
40.73114,-73.99345,25
40.74095667,-73.98521333,17
40.76059,-73.96874,19
40.760466,-73.968446,6
40.760342,-73.968152,12
40.760218,-73.967858,24
40.75997,-73.96727,28.5
40.7527625,-73.973815,18
40.745555,-73.98036,21
40.73114,-73.99345,7
40.73666,-73.987238,14
40.74218,-73.981026,14
40.7477,-73.974814,0
40.75874,-73.96239,22
40.76274333,-73.96145,24
40.76674667,-73.96051,10
40.77075,-73.95957,28.25
40.77475333,-73.95863,1
40.78276,-73.95675,1
40.7683325,-73.9648625,23
40.753905,-73.972975,12
40.70884,-74.01456,22
40.73243,-74.00473667,27.75
40.77961,-73.98509,20
40.779236,-73.985382,7
40.778862,-73.985674,6
40.778488,-73.985966,23
